,datetime,source,MW
511,2016-11-04 16:57:02,Both,-0.07
512,2016-11-04 17:32:28,Both,-0.29
513,2016-11-04 17:53:11,Both,-0.25
514,2016-11-04 18:09:22,Both,-0.08
515,2016-11-04 18:30:13,Both,-0.09
516,2016-11-04 18:32:04,Both,-0.09
517,2016-11-04 18:37:53,Both,-0.11
518,2016-11-04 18:40:45,Both,-0.19
519,2016-11-04 19:07:14,Both,-0.17
520,2016-11-04 19:07:20,Both,-0.02
521,2016-11-04 19:38:40,Both,-0.14
522,2016-11-04 19:54:22,Both,0.05
523,2016-11-04 20:20:58,Both,0.09
524,2016-11-04 20:25:09,Both,0.27
525,2016-11-04 20:29:59,Both,-0.12
526,2016-11-04 20:39:23,Both,-0.13
527,2016-11-04 20:41:24,Both,0.21
528,2016-11-04 20:46:58,Both,0.17
529,2016-11-04 20:53:24,Both,0.14
530,2016-11-04 20:55:42,Both,-0.09
531,2016-11-04 20:57:07,Both,-0.06
532,2016-11-04 20:59:51,Both,0.04
533,2016-11-04 21:01:21,Both,-0.16
534,2016-11-04 21:02:45,Both,0.11
535,2016-11-04 21:05:13,Both,-0.03
536,2016-11-04 21:11:10,Both,0.06
537,2016-11-04 21:12:50,Both,-0.16
538,2016-11-04 21:17:53,Both,0.12
539,2016-11-04 21:20:14,Both,0.15
540,2016-11-04 21:31:10,Both,0.13
541,2016-11-04 21:37:53,Both,0.04
542,2016-11-04 21:44:09,Both,0.26
543,2016-11-04 21:44:30,Both,-0.02
544,2016-11-04 21:45:27,Both,-0.01
545,2016-11-04 21:48:03,Both,0.02
546,2016-11-04 22:02:13,Both,0.31
547,2016-11-04 22:07:48,Both,-0.07
548,2016-11-04 22:10:07,Both,-0.05
549,2016-11-04 22:21:55,Both,0.13
550,2016-11-04 22:31:19,Both,0.1
551,2016-11-04 22:43:23,Both,0.35
552,2016-11-04 22:44:10,Both,-0.06
553,2016-11-04 22:47:33,Both,0.17
554,2016-11-04 22:55:31,Both,-0.02
555,2016-11-04 22:59:32,Both,-0.03
556,2016-11-04 23:02:00,Both,0.13
557,2016-11-04 23:08:37,Both,-0.02
558,2016-11-04 23:10:12,Both,-0.08
559,2016-11-04 23:13:51,Both,-0.02
560,2016-11-04 23:23:52,Both,0.15
561,2016-11-04 23:26:27,Both,-0.12
562,2016-11-04 23:30:00,Both,-0.05
563,2016-11-04 23:51:51,Both,0.05
564,2016-11-04 23:53:47,Both,0.0
565,2016-11-05 00:11:23,Both,0.09
566,2016-11-05 00:23:21,Both,-0.02
567,2016-11-05 00:29:29,Both,-0.16
568,2016-11-05 00:31:18,Both,-0.06
569,2016-11-05 00:41:40,Both,0.16
570,2016-11-05 00:42:08,Both,-0.08
571,2016-11-05 00:58:40,Both,0.06
572,2016-11-05 00:58:46,Both,0.19
573,2016-11-05 01:11:20,Both,-0.04
574,2016-11-05 01:12:04,Both,-0.16
575,2016-11-05 01:12:22,Both,0.05
576,2016-11-05 01:25:55,Both,-0.03
577,2016-11-05 01:29:14,Both,-0.11
578,2016-11-05 01:31:49,Both,-0.05
579,2016-11-05 01:37:21,Both,0.01
580,2016-11-05 01:40:09,Both,0.16
581,2016-11-05 02:17:13,Both,0.04
582,2016-11-05 02:47:13,Both,0.27
583,2016-11-05 03:19:42,Both,-0.03
584,2016-11-05 03:22:52,Both,0.09
