,datetime,source,Easting (m),Northing (m),TVD (m),MW,double_flag
358,2016-11-01 15:44:44.048,es,,,,,True
359,2016-11-01 15:44:46.000,srl,2793.0,4182.0,3456.0,0.08,True
360,2016-11-01 15:45:15.000,srl,2863.0,4157.0,3339.0,0.33,True
361,2016-11-01 15:45:15.312,es,,,,,True
362,2016-11-01 15:52:47.000,srl,2793.0,4177.0,3492.0,0.38,True
363,2016-11-01 15:52:48.016,es,,,,,True
364,2016-11-01 16:32:40.000,srl,2793.0,4177.0,3500.0,0.54,True
365,2016-11-01 16:32:40.134,es,,,,,True
366,2016-11-01 17:10:04.000,srl,2853.0,4152.0,3354.0,0.55,True
367,2016-11-01 17:10:04.626,es,,,,,True
368,2016-11-01 17:31:32.000,srl,2843.0,4142.0,3408.0,0.3,True
369,2016-11-01 17:31:32.448,es,,,,,True
370,2016-11-01 17:33:12.000,srl,2823.0,4072.0,3224.0,-0.23,True
371,2016-11-01 17:33:12.314,es,,,,,True
372,2016-11-01 18:05:17.000,srl,2853.0,4142.0,3354.0,0.6,True
373,2016-11-01 18:05:17.772,es,,,,,True
374,2016-11-01 18:30:17.000,srl,2783.0,4177.0,3487.0,0.48,True
375,2016-11-01 18:30:17.942,es,,,,,True
376,2016-11-01 19:02:56.000,srl,2853.0,4157.0,3362.0,0.28,True
377,2016-11-01 19:02:56.634,es,,,,,True
378,2016-11-01 19:31:53.000,srl,2843.0,4152.0,3393.0,0.44,True
379,2016-11-01 19:31:53.686,es,,,,,True
380,2016-11-01 19:51:05.000,srl,2854.0,4097.0,2878.0,-0.26,True
381,2016-11-01 19:51:06.148,es,,,,,True
382,2016-11-01 20:42:54.000,srl,2853.0,4157.0,3345.0,0.25,True
383,2016-11-01 20:42:55.158,es,,,,,True
384,2016-11-01 20:52:20.000,srl,2793.0,4167.0,3501.0,0.28,True
385,2016-11-01 20:52:20.190,es,,,,,True
386,2016-11-01 22:20:36.000,srl,2768.0,4132.0,3517.0,-0.24,True
387,2016-11-01 22:20:36.338,es,,,,,True
388,2016-11-01 22:26:06.000,srl,2783.0,4167.0,3495.0,-0.08,True
389,2016-11-01 22:26:06.062,es,,,,,True
390,2016-11-01 22:29:28.000,srl,2848.0,4147.0,3324.0,0.18,True
391,2016-11-01 22:29:28.358,es,,,,,True
392,2016-11-01 22:29:38.000,srl,2868.0,4177.0,3355.0,-0.22,True
393,2016-11-01 22:29:38.792,es,,,,,True
394,2016-11-01 22:45:24.000,srl,2798.0,4172.0,3508.0,-0.21,True
395,2016-11-01 22:45:24.718,es,,,,,True
396,2016-11-01 23:32:35.000,srl,2793.0,4167.0,3488.0,0.44,True
397,2016-11-01 23:32:35.402,es,,,,,True
398,2016-11-02 00:13:06.000,srl,2843.0,4152.0,3339.0,-0.01,True
